"Facility.Permit","Establishment.Name","Facility.Name","Facility.Unit.No","Facility.City","Facility.State","Facility.Zip","Business.Status","Facility.Type","Permit.Type","Web.Site","Operational.Status","Location","Latitude","Longitude"
102036,"CVS/ Pharmacy #8592","CVS/ Pharmacy #8592","","Kansas City","MISSOURI",64105,"Open","Retail Grocery/Market 3001-30000 sq. ft.","Retail Grocery/Market","","Operational","921 Main St
Kansas City, MISSOURI 64105
(39.102614, -94.583052)",39.102614,-94.583052
4708,"MARSH'S SUNFRESH (Store)","MARSH'S SUNFRESH (Store)","","KANSAS CITY","MISSOURI",64111,"Open","Retail Grocery/Market 40001-60000 sq. ft.","Retail Grocery/Market","","Operational","4001 MILL ST.
KANSAS CITY, MISSOURI 64111
(39.053557, -94.594557)",39.053557,-94.594557
101321,"Abarrotes Durango (market)","Abarrotes Durango (market)","","Kansas City","MISSOURI",64126,"Open","Retail Grocery/Market Under 3000 sq. ft.","Retail Grocery/Market","","Operational","6200 E Truman
Kansas City, MISSOURI 64126
(39.093881, -94.509931)",39.093881,-94.509931
12221,"Price Chopper # 17 Market","Price Chopper # 17 Market","","Kansas City","MISSOURI",64134,"Open","Retail Grocery/Market 40001-60000 sq. ft.","Retail Grocery/Market","","Operational","9550 Blue Ridge Blvd
Kansas City, MISSOURI 64134
(38.951065, -94.508019)",38.951065,-94.508019
25093,"Westport Plaza BP","Westport Plaza BP","","KANSAS CITY","MISSOURI",64111,"Open","Retail Grocery/Market Under 3000 sq. ft.","Retail Grocery/Market","","Operational","1015 WEST 43RD ST
KANSAS CITY, MISSOURI 64111
(39.049844, -94.599028)",39.049844,-94.599028
101561,"Family Dollar Store","Family Dollar Store","","Kansas City","MISSOURI",64127,"Open","Retail Grocery/Market 3001-30000 sq. ft.","Retail Grocery/Market","","Operational","4601 E Truman Rd
Kansas City, MISSOURI 64127
(39.094281, -94.528264)",39.094281,-94.528264
101755,"Family Dollar Stores, Inc","Family Dollar Stores, Inc","","Kansas City","MISSOURI",64128,"Open","Retail Grocery/Market 3001-30000 sq. ft.","Retail Grocery/Market","","Operational","3017 Prospect Ave.
Kansas City, MISSOURI 64128
(39.070904, -94.552789)",39.070904,-94.552789
2384,"Van Brunt Market (retail)","Van Brunt Market (retail)","","Kansas City","MISSOURI",64128,"Open","Retail Grocery/Market Under 3000 sq. ft.","Retail Grocery/Market","","Operational","2701 Van Brunt
Kansas City, MISSOURI 64128
(39.075928, -94.520283)",39.075928,-94.520283
100613,"US Fuels LLC","US Fuels LLC","","KANSAS CITY","MISSOURI",64109,"Open","Retail Grocery/Market Under 3000 sq. ft.","Retail Grocery/Market","","Operational","3438 Troost
KANSAS CITY, MISSOURI 64109
(39.063721, -94.571688)",39.063721,-94.571688
2998,"Plaza Apple Market","Plaza Apple Market","","Kansas City","MISSOURI",64110,"Open","Retail Grocery/Market 3001-30000 sq. ft.","Retail Grocery/Market","","Operational","1215 E 47th St.
Kansas City, MISSOURI 64110
(39.041632, -94.571589)",39.041632,-94.571589
101638,"Quik Trip #225 (Market)","Quik Trip #225 (Market)","","Kansas City","MISSOURI",64155,"Open","Retail Grocery/Market 40001-60000 sq. ft.","Retail Grocery/Market","","Operational","1251 NW Barry RD
Kansas City, MISSOURI 64155
(39.246319, -94.597391)",39.246319,-94.597391
100463,"Hampton Inn & Suites, Country Club Plaza","Hampton Inn & Suites, Country Club Plaza","","Kansas City","MISSOURI",64112,"Open","Retail Grocery/Market Under 3000 sq. ft.","Retail Grocery/Market","","Operational","4600 Summit
Kansas City, MISSOURI 64112
(39.043978, -94.596138)",39.043978,-94.596138
101300,"Break Time","Break Time","","Kansas City","MISSOURI",64108,"Open","Retail Grocery/Market Under 3000 sq. ft.","Retail Grocery/Market","","Operational","2555 Grand Blvd
Kansas City, MISSOURI 64108
(39.080286, -94.58304)",39.080286,-94.58304
2585,"WALGREEN #4235","WALGREEN #4235","","KANSAS CITY","MISSOURI",64114,"Open","Retail Grocery/Market 3001-30000 sq. ft.","Retail Grocery/Market","","Operational","7500 WORNALL RD
KANSAS CITY, MISSOURI 64114
(38.991872, -94.5943)",38.991872,-94.5943
15571,"Lipari Sunfresh Market","Lipari Sunfresh Market","","Kansas City","MISSOURI",64131,"Open","Retail Grocery/Market 30001-40000 sq. ft.","Retail Grocery/Market","","Operational","11212 Holmes Rd
Kansas City, MISSOURI 64131
(38.923945, -94.583509)",38.923945,-94.583509
3092,"McGonigle's Food Store (market)","McGonigle's Food Store (market)","","KANSAS CITY","MISSOURI",64114,"Open","Retail Grocery/Market 3001-30000 sq. ft.","Retail Grocery/Market","","Operational","1307 W. 79TH ST.
KANSAS CITY, MISSOURI 64114
(38.985531, -94.605684)",38.985531,-94.605684
102050,"Pour Boy Oil Company (retail)","Pour Boy Oil Company (retail)","","Kansas City","MISSOURI",64116,"Open","Retail Grocery/Market Under 3000 sq. ft.","Retail Grocery/Market","","Operational","4225 N Oak Trfwy
Kansas City, MISSOURI 64116
(39.171155, -94.576747)",39.171155,-94.576747
101517,"Hy-Vee Gas #2 (market)","Hy-Vee Gas #2 (market)","","Kansas City","MISSOURI",64118,"Open","Retail Grocery/Market Under 3000 sq. ft.","Retail Grocery/Market","","Operational","207 N.E. Englewood Road
Kansas City, MISSOURI 64118
(39.195994, -94.57985)",39.195994,-94.57985
100897,"Carniceria El Torito (Retail)","Carniceria El Torito (Retail)","","Kansas City","MISSOURI",64123,"Open","Retail Grocery/Market Under 3000 sq. ft.","Retail Grocery/Market","","Operational","4901 St. John
Kansas City, MISSOURI 64123
(39.112636, -94.524354)",39.112636,-94.524354
4186,"ALDI #78","ALDI #78","","Kansas City","MISSOURI",64131,"Open","Retail Grocery/Market 3001-30000 sq. ft.","Retail Grocery/Market","","Operational","6415 Troost
Kansas City, MISSOURI 64131
(39.010548, -94.574692)",39.010548,-94.574692
101186,"Truman Medical Center-Coffee Shop","Truman Medical Center-Coffee Shop","","Kansas City","MISSOURI",64139,"Open","Retail Grocery/Market Under 3000 sq. ft.","Retail Grocery/Market","","Operational","7900 Lee Summit Road
Kansas City, MISSOURI 64139
(38.973566, -94.39046)",38.973566,-94.39046
102034,"CVS/Pharmacy","CVS/Pharmacy","","Kansas City","MISSOURI",64110,"Open","Retail Grocery/Market 3001-30000 sq. ft.","Retail Grocery/Market","","Operational","4531 Troost Ave.
Kansas City, MISSOURI 64110
(39.044074, -94.572816)",39.044074,-94.572816
101032,"Prairie View Phillips","Prairie View Phillips","","Kansas City","MISSOURI",64151,"Open","Retail Grocery/Market Under 3000 sq. ft.","Retail Grocery/Market","","Operational","5910 NW Prairie View Rd
Kansas City, MISSOURI 64151
(39.202773, -94.630907)",39.202773,-94.630907
21681,"La Posada Market","La Posada Market","","Kansas City","MISSOURI",64108,"Open","Retail Grocery/Market Under 3000 sq. ft.","Retail Grocery/Market","","Operational","722 Southwest Blvd.
Kansas City, MISSOURI 64108
(39.085012, -94.593332)",39.085012,-94.593332
26170,"7-ELEVEN STORE#29066","7-ELEVEN STORE#29066","","KANSAS CITY","MISSOURI",64114,"Open","Retail Grocery/Market Under 3000 sq. ft.","Retail Grocery/Market","","Operational","8901 WORNALL
KANSAS CITY, MISSOURI 64114
(38.966634, -94.595439)",38.966634,-94.595439
100168,"Troost Market Retail","Troost Market Retail","","Kansas City","MISSOURI",64131,"Open","Retail Grocery/Market Under 3000 sq. ft.","Retail Grocery/Market","","Operational","8001 Troost Ave
Kansas City, MISSOURI 64131
(38.982971, -94.576083)",38.982971,-94.576083
101028,"Dollar General","Dollar General","","Kansas City","MISSOURI",64138,"Open","Retail Grocery/Market 3001-30000 sq. ft.","Retail Grocery/Market","","Operational","8716 Blue Ridge Blvd.
Kansas City, MISSOURI 64138
(38.965226, -94.49972)",38.965226,-94.49972
100978,"Snyder's Super Market #605","Snyder's Super Market #605","","Kansas City","MISSOURI",64124,"Open","Retail Grocery/Market 3001-30000 sq. ft.","Retail Grocery/Market","","Operational","2620 Independence Ave
Kansas City, MISSOURI 64124
(39.106255, -94.54972)",39.106255,-94.54972
100419,"7-Eleven Store No 18711","7-Eleven Store No 18711","","Kansas City","MISSOURI",64127,"Open","Retail Grocery/Market Under 3000 sq. ft.","Retail Grocery/Market","","Operational","2636 Van Brunt Blvd.
Kansas City, MISSOURI 64127
(39.076325, -94.520544)",39.076325,-94.520544
101822,"Save-A-Lot","Save-A-Lot","","Kansas City","MISSOURI",64109,"Open","Retail Grocery/Market 3001-30000 sq. ft.","Retail Grocery/Market","","Operational","3410 Troost
Kansas City, MISSOURI 64109
(39.064226, -94.571658)",39.064226,-94.571658
2248,"Country View Market","Country View Market","","Kansas City","MISSOURI",64130,"Open","Retail Grocery/Market 3001-30000 sq. ft.","Retail Grocery/Market","","Operational","5802 Swope Parkway
Kansas City, MISSOURI 64130
(39.020785, -94.541789)",39.020785,-94.541789
19061,"Sam's Club #8207 (Market)","Sam's Club #8207 (Market)","","Kansas City","MISSOURI",64118,"Open","Retail Grocery/Market 60001-80000 sq. ft.","Retail Grocery/Market","","Operational","5110 N. Oak Trfwy.
Kansas City, MISSOURI 64118
(39.18659, -94.576594)",39.18659,-94.576594
100309,"Target","Target","","Kansas City","MISSOURI",64114,"Open","Retail Grocery/Market 3001-30000 sq. ft.","Retail Grocery/Market","","Operational","8509 State Line Rd.
Kansas City, MISSOURI 64114
(38.974513, -94.608186)",38.974513,-94.608186
101261,"Olive Cafe (market)","Olive Cafe (market)","Suite B","Kansas City","MISSOURI",64134,"Open","Retail Grocery/Market Under 3000 sq. ft.","Retail Grocery/Market","","Operational","9530 James A Reed Road
Kansas City, MISSOURI 64134
(38.950958, -94.494053)",38.950958,-94.494053
101722,"Crown Center Apothecary","Crown Center Apothecary","","Kansas City","MISSOURI",64108,"Open","Retail Grocery/Market Under 3000 sq. ft.","Retail Grocery/Market","","Operational","2450 Grand Suite 101
Kansas City, MISSOURI 64108
(39.082903, -94.581877)",39.082903,-94.581877
19421,"Arnone's Car Care Center","Arnone's Car Care Center","","Kansas City","MISSOURI",64106,"Open","Retail Grocery/Market Under 3000 sq. ft.","Retail Grocery/Market","","Operational","702 Paseo Blvd
Kansas City, MISSOURI 64106
(39.104958, -94.563742)",39.104958,-94.563742
1665,"COSTCO WHOLESALE #375 (Retail Grocery)","COSTCO WHOLESALE #375 (Retail Grocery)","","KANSAS CITY","MISSOURI",64111,"Open","Retail Grocery/Market 60001-80000 sq. ft.","Retail Grocery/Market","","Operational","241 E. LINWOOD BLVD.
KANSAS CITY, MISSOURI 64111
(39.068333, -94.58197)",39.068333,-94.58197
1386,"FAST STOP #7","FAST STOP #7","","KANSAS CITY","MISSOURI",64129,"Open","Retail Grocery/Market Under 3000 sq. ft.","Retail Grocery/Market","","Operational","7100 EASTWOOD TFWY
KANSAS CITY, MISSOURI 64129
(39.031138, -94.502565)",39.031138,-94.502565
101563,"Family Dollar Store","Family Dollar Store","","Kansas City","MISSOURI",64124,"Open","Retail Grocery/Market 3001-30000 sq. ft.","Retail Grocery/Market","","Operational","634 Prospect Ave
Kansas City, MISSOURI 64124
(39.104834, -94.551118)",39.104834,-94.551118
1418,"7-Eleven #21057","7-Eleven #21057","","Kansas City","MISSOURI",64109,"Open","Retail Grocery/Market Under 3000 sq. ft.","Retail Grocery/Market","","Operational","3150 Gillham
Kansas City, MISSOURI 64109
(39.069022, -94.578986)",39.069022,-94.578986
101021,"Dollar General #3295","Dollar General #3295","","Kansas City","MISSOURI",64137,"Open","Retail Grocery/Market 3001-30000 sq. ft.","Retail Grocery/Market","","Operational","10524 Grandview Rd
Kansas City, MISSOURI 64137
(38.934684, -94.541233)",38.934684,-94.541233
100802,"K.C. Fuel","K.C. Fuel","","Kansas City","MISSOURI",64127,"Open","Retail Grocery/Market Under 3000 sq. ft.","Retail Grocery/Market","","Operational","5401 Winner Rd.
Kansas City, MISSOURI 64127
(39.099446, -94.518583)",39.099446,-94.518583
101605,"Family Dollar Store # 5135","Family Dollar Store # 5135","","Kansas City","MISSOURI",64131,"Open","Retail Grocery/Market 3001-30000 sq. ft.","Retail Grocery/Market","","Operational","8215 Troost Ave
Kansas City, MISSOURI 64131
(38.979013, -94.576294)",38.979013,-94.576294
100783,"Brookside Market #144 (Retail) ","Brookside Market #144 (Retail) ","","Kansas City","MISSOURI",64113,"Open","Retail Grocery/Market 3001-30000 sq. ft.","Retail Grocery/Market","","Operational","14 W 62nd Terrace
Kansas City, MISSOURI 64113
(39.014858, -94.589253)",39.014858,-94.589253
100937,"Al-Habashi Mart","Al-Habashi Mart","","Kansas City","MISSOURI",64105,"Open","Retail Grocery/Market 3001-30000 sq. ft.","Retail Grocery/Market","","Operational","311 Main St
Kansas City, MISSOURI 64105
(39.109813, -94.583327)",39.109813,-94.583327
101560,"Family Dollar Store","Family Dollar Store","","Kansas City","MISSOURI",64123,"Open","Retail Grocery/Market 3001-30000 sq. ft.","Retail Grocery/Market","","Operational","5900 Wilson Rd
Kansas City, MISSOURI 64123
(39.105629, -94.512324)",39.105629,-94.512324
102035,"CVS Pharmacy #8590","CVS Pharmacy #8590","","Kansas City ","MISSOURI",64114,"Open","Retail Grocery/Market 3001-30000 sq. ft.","Retail Grocery/Market","","Operational","315 West 75th st
Kansas City, MISSOURI 64114
(38.992252, -94.592906)",38.992252,-94.592906
2369,"Quik Trip  #204","Quik Trip  #204","","Kansas City","MISSOURI",64126,"Open","Retail Grocery/Market 3001-30000 sq. ft.","Retail Grocery/Market","http://quiktrip.com","Operational","6641 Truman Rd
Kansas City, MISSOURI 64126
(39.093725, -94.503777)",39.093725,-94.503777
101059,"CVS Pharmacy #05663","CVS Pharmacy #05663","","Kansas City","MISSOURI",64113,"Open","Retail Grocery/Market 3001-30000 sq. ft.","Retail Grocery/Market","","Operational","6244 Brookside Blvd.
Kansas City, MISSOURI 64113
(39.014689, -94.591183)",39.014689,-94.591183
100969,"Dollar General #2652","Dollar General #2652","","Kansas City","MISSOURI",64117,"Open","Retail Grocery/Market Under 3000 sq. ft.","Retail Grocery/Market","","Operational","5008 NE Parvin Rd
Kansas City, MISSOURI 64117
(39.167047, -94.52014)",39.167047,-94.52014
12980,"TOYS R US #9520","TOYS R US #9520","","KANSAS CITY","MISSOURI",64118,"Open","Retail Grocery/Market Under 3000 sq. ft.","Retail Grocery/Market","http://toysrus.com","Operational","8330 N. BROADWAY
KANSAS CITY, MISSOURI 64118
(39.244541, -94.585125)",39.244541,-94.585125
19510,"Paul's Liquor & Groceries","Paul's Liquor & Groceries","","Kansas City","MISSOURI",64110,"Open","Retail Grocery/Market Under 3000 sq. ft.","Retail Grocery/Market","","Operational","5506 Paseo
Kansas City, MISSOURI 64110
(39.026592, -94.568003)",39.026592,-94.568003
2405,"Walgreens","Walgreens","","Kansas City","MISSOURI",64119,"Open","Retail Grocery/Market 3001-30000 sq. ft.","Retail Grocery/Market","http://walgreens.com","Operational","2630 NE Vivion Rd.
Kansas City, MISSOURI 64119
(39.186996, -94.547778)",39.186996,-94.547778
31391,"Price Chopper (grocery)","Price Chopper (grocery)","","KANSAS CITY","MISSOURI",64114,"Open","Retail Grocery/Market 40001-60000 sq. ft.","Retail Grocery/Market","","Operational","1030 W 103RD ST
KANSAS CITY, MISSOURI 64114
(38.941946, -94.605487)",38.941946,-94.605487
101592,"Family Dollar Store","Family Dollar Store","","Kansas City","MISSOURI",64125,"Open","Retail Grocery/Market 3001-30000 sq. ft.","Retail Grocery/Market","","Operational","6003 Independence Ave
Kansas City, MISSOURI 64125
(39.104896, -94.51085)",39.104896,-94.51085
11353,"Target Store (T1455)","Target Store (T1455)","","Kansas City","MISSOURI",64157,"Open","Retail Grocery/Market 3001-30000 sq. ft.","Retail Grocery/Market","","Operational","9220 NE Barry Rd.
Kansas City, MISSOURI 64157
(39.244879, -94.463669)",39.244879,-94.463669
102014,"Sunfresh Blue Parkway (Market)","Sunfresh Blue Parkway (Market)","","Kansas City","MISSOURI",64130,"Open","Retail Grocery/Market 3001-30000 sq. ft.","Retail Grocery/Market","","Operational","4209 E 50th Terr
Kansas City, MISSOURI 64130
(39.033772, -94.535929)",39.033772,-94.535929
2939,"Mr Z's In & Out #1","Mr Z's In & Out #1","","Kansas City","MISSOURI",64111,"Open","Retail Grocery/Market Under 3000 sq. ft.","Retail Grocery/Market","","Operational","1600 W. 39th St
Kansas City, MISSOURI 64111
(39.057223, -94.603987)",39.057223,-94.603987
100393,"Super Target-Grocery","Super Target-Grocery","","Kansas City","MISSOURI",64145,"Open","Retail Grocery/Market 40001-60000 sq. ft.","Retail Grocery/Market","","Operational","1201 W. 136th St.
Kansas City, MISSOURI 64145
(38.881513, -94.605217)",38.881513,-94.605217
